AgeGroup,ParticipantID,ImageType,ImageName,Spm1,Spm2,Spm3,CorrectEmotion
16-21,Jente 18a,Menneske,Kjedsomhet,kaos,3.0,4,0
16-21,Jente 18a,KI,Kjedsomhet,Fred,4.0,8,0
16-21,Gutt 18a,Menneske,Nostalgi,ukomfortabel,6.9,3,0
16-21,Gutt 18a,KI,Nostalgi,Glede,8.0,8,0
16-21,Gutt 17,Menneske,Frykt,sinne,6.0,3,0
16-21,Gutt 17,KI,Frykt,håp,4.0,8,0
16-21,Jente 18b,Menneske,Tristhet,Tristhet,3.0,5,1
16-21,Jente 18b,KI,Tristhet,Tristhet,7.0,3,1
16-21,Gutt 19,Menneske,Glede,Nostalgi,4.0,5,0
16-21,Gutt 19,KI,Glede,Glede,6.0,7,1
16-21,Gutt 18b,Menneske,Avsky,Kaos,4.0,3,0
16-21,Gutt 18b,KI,Avsky,Kvalme,8.0,1,1
16-21,Jente 19,Menneske,Overraskelse,frykt,3.0,4,0
16-21,Jente 19,KI,Overraskelse,Overveldende,7.0,2,1
16-21,Jente 20,Menneske,Sinne,Sinne,4.0,5,1
16-21,Jente 20,KI,Sinne,Frykt,8.0,2,0
30-50,Kvinne 36,Menneske,Kjedsomhet,Sinne,5.0,3,0
30-50,Kvinne 36,KI,Kjedsomhet,Nostalgi,7.0,9,0
30-50,Mann 38,Menneske,Sinne,Krig/frykt,2.0,5,0
30-50,Mann 38,KI,Sinne,Frykt,2.0,5,0
30-50,Mann 50,Menneske,Nostalgi,nysgjerrighet,8.0,2,0
30-50,Mann 50,KI,Nostalgi,Avslappende,4.0,4,0
30-50,Mann 44,Menneske,Frykt,Frykt,5.0,7,1
30-50,Mann 44,KI,Frykt,Kaotisk,9.0,2,0
30-50,Kvinne 47,Menneske,Avsky,Forvirring,7.0,2,0
30-50,Kvinne 47,KI,Avsky,Avsky,10.0,0,1
30-50,Mann 35,Menneske,Glede,Avslapning,3.0,7,0
30-50,Mann 35,KI,Glede,Forvirring,4.0,6,0
30-50,Kvinne 33,Menneske,Overraskelse,Tristhet,7.0,2,0
30-50,Kvinne 33,KI,Overraskelse,Forvirring,7.0,5,0
30-50,Kvinne 42,Menneske,Tristhet,Tristhet,7.0,6,1
30-50,Kvinne 42,KI,Tristhet,Tristhet,9.0,5,1
